900172,-1,1
900165,1,-1
900177,1,1
508058,-1,-1
501346,1,-1
508012,1,-1
508089,-1,-1
900171,-1,-1
508293,-1,-1
502345,1,-1
508539,1,-1
501287,-1,-1
900100,-1,-1
501198,1,-1
900144,-1,-1
508006,1,-1
508482,1,1
501094,-1,-1
501196,-1,-1
900176,1,-1
501186,1,-1
900187,1,-1
502348,1,-1
508438,1,-1
900128,-1,-1
501188,1,-1
508533,1,1
508357,-1,-1
501215,1,-1
900135,1,-1
501175,1,-1
900083,-1,-1
501394,1,-1
501054,1,1
900118,-1,-1
900130,-1,-1
501373,-1,-1
502331,1,-1
501191,-1,-1
502346,-1,-1
501280,1,1
508535,1,1
508432,-1,-1
508277,1,-1
