501309,1,1
900174,-1,1
501392,-1,1
508539,1,1
900336,-1,-1
508031,-1,1
900156,-1,1
508076,-1,-1
508465,-1,-1
501312,1,-1
501318,1,-1
508533,-1,1
502341,1,1
508480,-1,-1
508058,-1,-1
501282,-1,-1
508534,1,1
508337,-1,-1
508006,-1,-1
900144,1,-1
508464,-1,1
501307,-1,-1
501038,-1,-1
501195,1,-1
501191,-1,1
508471,-1,1
900146,1,1
900112,1,-1
508335,-1,1
501379,-1,-1
900119,1,1
508484,-1,-1
900094,1,1
508485,1,1
508107,-1,-1
900129,1,-1
501314,-1,1
502329,1,1
501188,1,1
900104,-1,1
508537,1,1
502333,-1,-1
508525,1,-1
501340,-1,-1
