508306,-1,1
501314,-1,1
501340,-1,-1
508302,-1,-1
508076,1,1
900195,1,-1
501176,-1,1
900336,-1,-1
502337,1,1
900118,-1,1
501335,1,1
508432,-1,1
900131,-1,1
501200,-1,-1
900082,-1,1
501329,-1,1
508084,1,1
900153,1,1
501173,-1,-1
501088,-1,-1
508016,1,1
900152,-1,1
508485,1,-1
501225,-1,1
501336,1,1
508056,-1,-1
900187,-1,1
900196,-1,1
501101,-1,1
501198,1,1
900333,-1,1
900331,-1,-1
508525,1,1
501094,1,1
508325,1,1
502345,-1,1
501163,-1,1
501236,1,1
508533,1,1
508360,-1,1
900177,-1,-1
900101,1,-1
508236,-1,1
900135,-1,-1
