508471,1,1
508306,-1,-1
900106,-1,-1
501361,-1,1
508525,1,-1
508464,1,-1
508512,1,-1
501314,-1,-1
508535,1,-1
501282,-1,-1
508046,-1,-1
501186,1,-1
508236,-1,1
900146,1,-1
508537,1,-1
501419,-1,-1
900176,-1,-1
501255,1,-1
508563,1,-1
508102,1,1
501289,-1,-1
502340,-1,-1
508325,-1,-1
508060,1,-1
501030,1,1
501279,-1,-1
900161,1,1
508088,-1,-1
900115,-1,-1
900098,-1,-1
508321,1,-1
501111,-1,-1
501329,1,1
900128,-1,-1
502329,1,-1
508432,1,-1
508536,1,-1
900112,-1,-1
508433,1,-1
900338,-1,-1
501217,-1,-1
508530,1,-1
501083,1,-1
508480,1,-1
